project_id,title,department,contractor,contract_value_inr,start_date,end_date,status,ward,description,source_url,risk_flag
P001,Surat Metro Rail Project Phase-I,CE Special Cell / GMRC,GMRC (Gujarat Metro Rail Corp),120200000000,2019-03-01,2024-12-31,In Progress,Multi-Ward,Two corridors: Sarthana-DREAM City (21.61 km) and Bhesan-Saroli (18.74 km). 38 stations. 6.47 km underground. DPR approved by Govt of India March 2019.,https://www.suratmunicipal.gov.in/Departments/ProjectsUnderPlanningTendering,0
P002,New SMC Main Office Building,CE Special Cell,INI Design Studio Pvt Ltd Ahmedabad,8989168000,2022-07-08,2027-12-31,Planning,Chowk Bazar Area,G+27 smart IGBC Platinum building. 220212 sq mt built-up on 22563 sq mt site. 4 basement parking levels. Houses SMC State and Central offices. STC approval 08/07/2022.,https://www.suratmunicipal.gov.in/Departments/ProjectsUnderPlanningTendering,0
P003,Conventional Barrage Project,CE Special Cell,Not yet awarded,8259100000,2026-01-01,2029-12-31,Tendering,Rundh-Bhatha,Tapi River barrage near Rundh-Bhatha. 31.01 MCM storage. Prevent salinity intrusion. Supplement water supply for Surat. Riverfront recreation.,https://www.suratmunicipal.gov.in/Departments/ProjectsUnderPlanningTendering,0
P004,Tapi Riverfront Development and Rejuvenation,CE Special Cell,Not yet awarded,NA,2026-01-01,2030-12-31,Planning,Kathore Bridge to Rundh-Bhatha,33 km Tapi river development. Embankments river cleaning land reclamation. Pedestrian and cycle tracks. Flood resilience. Public amenities.,https://www.suratmunicipal.gov.in/Departments/ProjectsUnderPlanningTendering,0
P005,Integrated Road Development - Gaurav Path,Town Planning,Not yet awarded,NA,2026-01-01,2028-12-31,Planning,Multiple Zones,Surat-Dumas Road development as part of special projects. Integrated road development under town planning.,https://www.suratmunicipal.gov.in/Departments/TownPlanningFuturePlan,0
P006,Integrated Road Development - Surat Navsari Road,Town Planning,Not yet awarded,NA,2026-01-01,2028-12-31,Planning,Multiple Zones,Surat-Navsari Road integrated development. Special projects initiative.,https://www.suratmunicipal.gov.in/Departments/TownPlanningFuturePlan,0
P007,Integrated Road Development - Surat Bardoli Road,Town Planning,Not yet awarded,NA,2026-01-01,2028-12-31,Planning,Multiple Zones,Surat-Bardoli Road integrated development. Special projects initiative.,https://www.suratmunicipal.gov.in/Departments/TownPlanningFuturePlan,0
P008,Integrated Road Development - Varachha Main Road,Town Planning,Not yet awarded,NA,2026-01-01,2028-12-31,Planning,Varachha Zone,Varachha Main Road integrated development. Special projects initiative.,https://www.suratmunicipal.gov.in/Departments/TownPlanningFuturePlan,0
P009,Integrated Road Development - Rander Main Road,Town Planning,Not yet awarded,NA,2026-01-01,2028-12-31,Planning,Rander Zone,Rander Main Road integrated development. Special projects initiative.,https://www.suratmunicipal.gov.in/Departments/TownPlanningFuturePlan,0
P010,Integrated Road Development - Adajan Hajira Road,Town Planning,Not yet awarded,NA,2026-01-01,2028-12-31,Planning,Adajan Zone,Adajan-Hajira Road integrated development. Special projects initiative.,https://www.suratmunicipal.gov.in/Departments/TownPlanningFuturePlan,0
P011,Integrated Road Development - Pal Pumping to Rekha Park,Town Planning,Not yet awarded,NA,2026-01-01,2028-12-31,Planning,Pal Zone,Pal Pumping to Rekha Park Road integrated development. Special projects initiative.,https://www.suratmunicipal.gov.in/Departments/TownPlanningFuturePlan,0
P012,Science Centre Museum and Auditorium,Town Planning,Not yet awarded,NA,2026-01-01,2028-12-31,Planning,Not specified,Special project under town planning. Science Centre Museum and Auditorium facility.,https://www.suratmunicipal.gov.in/Departments/TownPlanningFuturePlan,0
P013,SMC Budget 2026-27,Treasury,Not applicable,105930000000,2026-02-05,2027-03-31,Approved,City-wide,SMC election year budget of Rs 10593 Crores. Includes overbridge projects and urban infrastructure spending.,https://www.facebook.com/dilsesurti/videos,0
