event_no,date,source,record_id,title,keywords_found,risk_score,source_url,notes
C001,2026-05-28,Media,C001,100+ Homes Demolished in Nasir Nagar Surat,No demolition order issued; ghost demolition; 100+ homes; Nasir Nagar; Surat,95,https://news.google.com/search?q=nasir+nagar+surat+demolition,+Media reports 100+ homes demolished in Nasir Nagar (Katargam). Residents claim no official demolition order was issued by SMC. SMC denies ordering demolition. No notice served to residents.,
C002,2026-05-29,Court,C002,Gujarat High Court Petition Filed,PIL; writ petition; Nasir Nagar; Gujarat High Court; demolition,90,https://news.google.com/search?q=gujarat+high+court+nasir+nagar+demolition,+Resident Nasir filed writ petition in Gujarat High Court challenging legality of demolition and seeking relief for displaced families.,
C003,2026-05-30,SMC Official,C003,SMC Forms High-Power Committee,High-Power Committee; investigation; SMC; demolition inquiry,70,https://news.google.com/search?q=smc+high+power+committee+nasir+nagar,+SMC formed a high-power committee to investigate who ordered the demolition and whether proper due process was followed.,
C004,2026-05-30,Media,C004,SMC Denies Demolition Order,SMC denies; no order; commissioner statement; unauthorized demolition,85,https://news.google.com/search?q=smc+denies+nasir+nagar+demolition,+SMC commissioner publicly denied issuing any demolition order for Nasir Nagar. Questions raised about who authorized the demolition.,
C005,2026-05-30,Media,C005,Police Present During Demolition,Police presence; demolition site; no official order; contradictory evidence,80,https://news.google.com/search?q=present+demolition+nasir+nagar+surat,+Police officials were reportedly present during the demolition. This contradicts claims that demolition was unauthorized.,
C006,2026-06-01,Development,C006,SMC Creek-Side Anti-Encroachment Drive,Creek; anti-encroachment; legitimate demolition; SMC authority,40,https://www.suratmunicipal.gov.in,+SMC regularly conducts anti-encroachment drives along creeks and water bodies. These are documented and follow due process - provides contrast to disputed Nasir Nagar demolition.,
C007,2026-06-01,TP Planning,C007,Road Development Project - Katargam Area,Road development; creek widening; Katargam; TP planning; Surat,55,https://www.suratmunicipal.gov.in/Departments/ProjectsUnderPlanningTendering,+SMC planning and tendering page shows active road development projects in Surat including creek widening. Katargam area road projects may overlap with Nasir Nagar location.,
C008,2026-06-01,SMC Official,C008,SMC Notices Nasir Nagar Residents,Notice; residents; demolition; compliance required; no prior notice,92,https://news.google.com/search?q=nasir+nagar+surat+smc+notice,+Reports indicate residents say they received no prior notice. SMC typically issues notices for encroachment removal - absence of notice is a key grievance.,
C009,2026-06-02,Media,C009,Local Politicians Question Demolition,Politicians; questioning; accountability; unauthorized action; SMC,75,https://news.google.com/search?q=nasir+nagar+demolition+politicians,+Local political representatives raised questions about the demolition in public forums. Demands for accountability from responsible officials.,
C010,2026-06-02,Development,C010,SMC Town Planning TP Details - Zone Analysis,TP details; Surat; zone planning; development authority; land use,50,https://www.suratmunicipal.gov.in/Departments/TownPlanningTPDetails,+SMC town planning department maintains TP details for all zones. Nasir Nagar falls under a specific TP zone which should have development guidelines and land records.
